date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:54:52	9892/9892	---M--	200	added ('OK')	image/jpeg	etag:%224aeabe061f780%22	http://www.sheng-fa.com.tw/templates/cache/5404/images/G08.jpg	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/cache/5404/images/G08.jpg	(from http://www.sheng-fa.com.tw/index.html)
09:54:53	13783/13783	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Mar%202018%2001:54:51%20GMT	http://www.sheng-fa.com.tw/01.html	C:/My%20Websites/1/www.sheng-fa.com.tw/01.html	(from http://www.sheng-fa.com.tw/index.html)
09:54:55	10870/10870	---M--	200	added ('OK')	image/jpeg	etag:%224aeabe07139c0%22	http://www.sheng-fa.com.tw/templates/cache/5404/images/G09.jpg	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/cache/5404/images/G09.jpg	(from http://www.sheng-fa.com.tw/index.html)
09:54:55	12519/12519	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Mar%202018%2001:54:54%20GMT	http://www.sheng-fa.com.tw/03.html	C:/My%20Websites/1/www.sheng-fa.com.tw/03.html	(from http://www.sheng-fa.com.tw/index.html)
09:54:57	10077/10077	---M--	200	added ('OK')	image/jpeg	etag:%224d011016106c0%22	http://www.sheng-fa.com.tw/templates/cache/5404/images/50bea5033c741.jpg	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/cache/5404/images/50bea5033c741.jpg	(from http://www.sheng-fa.com.tw/index.html)
09:54:58	12391/12391	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Mar%202018%2001:54:56%20GMT	http://www.sheng-fa.com.tw/07.html	C:/My%20Websites/1/www.sheng-fa.com.tw/07.html	(from http://www.sheng-fa.com.tw/index.html)
09:55:00	9653/9653	---M--	200	added ('OK')	image/jpeg	etag:%224aeabe0807c00%22	http://www.sheng-fa.com.tw/templates/cache/5404/images/G11.jpg	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/cache/5404/images/G11.jpg	(from http://www.sheng-fa.com.tw/index.html)
09:55:00	13214/13214	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Mar%202018%2001:54:59%20GMT	http://www.sheng-fa.com.tw/10.html	C:/My%20Websites/1/www.sheng-fa.com.tw/10.html	(from http://www.sheng-fa.com.tw/index.html)
09:55:02	10120/10120	---M--	200	added ('OK')	image/jpeg	etag:%224aeabe0807c00%22	http://www.sheng-fa.com.tw/templates/cache/5404/images/G12.jpg	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/cache/5404/images/G12.jpg	(from http://www.sheng-fa.com.tw/index.html)
09:55:03	14480/14480	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Mar%202018%2001:55:01%20GMT	http://www.sheng-fa.com.tw/xn--scsz4nj5i.html	C:/My%20Websites/1/www.sheng-fa.com.tw/xn--scsz4nj5i.html	(from http://www.sheng-fa.com.tw/index.html)
